state,date_s,date_e,pop_size,sample_size,pos_count,prev_est,prev_lb,prev_ub,date
AK,2020-08-06,2020-08-11,738516,242,0.726,0.003,0,0.0112,2020-08-08
AL,2020-07-29,2020-08-13,4864680,938,54.404,0.058,0.0416,0.0771,2020-08-06
AR,2020-07-29,2020-08-13,2990671,937,38.417,0.041,0.0274,0.0563,2020-08-06
AZ,2020-07-31,2020-08-11,6946685,591,48.462,0.082,0.0411,0.1359,2020-08-06
CA,2020-07-30,2020-08-05,39148760,980,55.86,0.057,0.0405,0.0777,2020-08-02
CO,2020-07-30,2020-08-07,5531141,1001,24.024,0.024,0.0089,0.0453,2020-08-03
CT,2020-07-30,2020-08-03,3581504,994,33.796,0.034,0.0204,0.0472,2020-08-01
DC,2020-07-30,2020-08-13,684498,717,27.963,0.039,0.0218,0.0576,2020-08-06
DE,2020-07-29,2020-08-13,949495,804,45.828,0.057,0.0355,0.0822,2020-08-06
FL,2020-07-31,2020-08-03,20598139,980,42.14,0.043,0.0277,0.0586,2020-08-02
GA,2020-08-02,2020-08-11,10297484,985,66.98,0.068,0.0483,0.0881,2020-08-06
HI,2020-08-03,2020-08-11,1422029,5,38.85,7.77,,,2020-08-07
IA,2020-07-29,2020-08-13,3132499,811,69.746,0.086,0.0598,0.1134,2020-08-06
ID,2020-08-04,2020-08-11,1687809,246,11.07,0.045,0.018,0.0799,2020-08-08
IL,2020-07-29,2020-08-10,12821497,1004,39.156,0.039,0.0252,0.0521,2020-08-04
IN,2020-07-31,2020-08-11,6637426,579,12.738,0.022,0.011,0.0363,2020-08-06
KS,2020-07-29,2020-08-08,2908776,962,15.392,0.016,0.007,0.028,2020-08-03
KY,2020-07-30,2020-08-13,4440204,975,23.4,0.024,0.0132,0.0362,2020-08-06
LA,2020-07-28,2020-08-13,4663616,1002,96.192,0.096,0.0688,0.1229,2020-08-05
MA,2020-07-30,2020-08-10,6830193,978,41.076,0.042,0.0289,0.0581,2020-08-05
MD,2020-07-31,2020-08-11,6003435,783,75.951,0.097,0.0726,0.1287,2020-08-06
ME,2020-07-30,2020-08-11,1332813,598,2.99,0.005,0,0.0116,2020-08-05
MI,2020-07-30,2020-08-11,9957488,982,33.388,0.034,0.0216,0.0484,2020-08-05
MN,2020-07-29,2020-08-13,5527358,879,30.765,0.035,0.0206,0.0501,2020-08-06
MO,2020-07-28,2020-08-10,6090062,979,24.475,0.025,0.0144,0.0361,2020-08-03
MS,2020-07-30,2020-08-13,2988762,769,54.599,0.071,0.0375,0.1109,2020-08-06
MT,2020-07-29,2020-08-10,1041732,199,0.995,0.005,0,0.0167,2020-08-04
NC,2020-07-29,2020-08-10,10155624,928,23.2,0.025,0.0131,0.0372,2020-08-04
ND,2020-07-29,2020-08-12,752201,121,8.833,0.073,0.013,0.1428,2020-08-05
NE,2020-07-28,2020-08-13,1904760,954,70.596,0.074,0.0525,0.0975,2020-08-05
